Date,Description,Debit,Credit,Balance
01-07-2026,UPI/SWIGGY/406812345678/Payment,349.00,,15230.50
01-07-2026,UPI/RAHUL SHARMA/406812349999/Sent,500.00,,14730.50
02-07-2026,NEFT-XYZCORP PVT LTD-SALARY JUL,,45000.00,59730.50
03-07-2026,UPI/OLA/406813456789/Cab Payment,187.00,,59543.50
03-07-2026,POS 4291 AMAZON PAY INDIA,1249.00,,58294.50
04-07-2026,UPI/ZOMATO/406814567890/Order,412.00,,57882.50
05-07-2026,ATM WDL-HDFC ATM MG ROAD,2000.00,,55882.50
06-07-2026,UPI/AIRTEL/406815678901/Recharge,399.00,,55483.50
07-07-2026,UPI/NETFLIX COM/406816789012/Sub,199.00,,55284.50
08-07-2026,POS 8823 RELIANCE FRESH,876.50,,54408.00
09-07-2026,UPI/IRCTC/406817890123/Ticket,720.00,,53688.00
10-07-2026,UPI/PVR CINEMAS/406818901234/Ticket,540.00,,53148.00
11-07-2026,UPI/BIGBASKET/406819012345/Order,1340.00,,51808.00
12-07-2026,UPI/PRIYA REDDY/406810123456/Received,,1500.00,53308.00
13-07-2026,POS 5567 MYNTRA DESIGNS,2199.00,,51109.00
14-07-2026,UPI/SPOTIFY/406811234567/Sub,119.00,,50990.00
15-07-2026,ELECTRICITY BILL AUTO-DEBIT APSPDCL,1450.00,,49540.00
16-07-2026,UPI/UBER/406812345670/Trip,214.00,,49326.00
17-07-2026,UPI/SWIGGY/406813456781/Payment,568.00,,48758.00
18-07-2026,APARTMENT MAINTENANCE-AUTO DEBIT,2500.00,,46258.00
19-07-2026,UPI/FLIPKART/406814567892/Order,3499.00,,42759.00
20-07-2026,UPI/JIO/406815678903/Recharge,299.00,,42460.00
