date,description,amount,category
2026-01-01,REFUND CREDIT,642.84,Income
2026-01-01,FLIPKART INTERNET,-3728.52,Shopping
2026-01-01,FREELANCE PAYMENT,7278.98,Income
2026-01-02,UPI-1234567890-CREDIT,1751.86,Income
2026-01-02,STARBUCS COFFEE,-297.11,Food
2026-01-02,UPI-8685-TXN,-1373.37,Bills
2026-01-03,APARTMENT MAINTENANCE,-2956.62,Bills
2026-01-05,AMAZON PAY,-414.22,Shopping
2026-01-05,POS PURCHASE 7937,1574.62,Income
2026-01-06,NETFLIX SUBSCRIPTION,-673.03,Bills
2026-01-06,AIRTEL POSTPAID,-555.8,Bills
2026-01-07,UPI-8765432109-CAB,-159.74,Travel
2026-01-07,PETROL PUMP 257,-664.89,Travel
2026-01-08,PVR CINEMAS,-533.29,Entertainment
2026-01-08,SALARY CREDIT XYZCORP,38983.98,Income
2026-01-10,IRCTC TICKET,-518.91,Travel
2026-01-11,LOCAL RESTAURANT 374,-757.29,Food
2026-01-11,PAYTM*MALL553,-476.97,Shopping
2026-01-11,SALARY CREDIT XYZCORP,38085.33,Income
2026-01-12,IRCTC TICKET,-539.24,Travel
2026-01-12,PETROL PUMP 393,-1663.32,Travel
2026-01-12,POS PURCHASE 7397,-2632.66,Entertainment
2026-01-14,BOOKMYSHOW TICKET,-477.19,Entertainment
2026-01-15,PVR CINEMAS,-749.4,Entertainment
2026-01-15,UPI-1234567890-CREDIT,1479.65,Income
2026-01-16,SALARY CREDIT XYZCORP,49385.39,Income
2026-01-16,REFUND CREDIT,2005.52,Income
2026-01-17,RAPIDO BIKE,-84.13,Travel
2026-01-17,OLA CABS,-347.25,Travel
2026-01-17,LOCAL RESTAURANT 964,-279.86,Food
2026-01-17,DOMINOS PIZZA638,-356.82,Food
2026-01-18,STARBUCKS COFFEE,-383.31,Food
2026-01-19,BIGBASKET GROCERY,-1319.9,Food
2026-01-20,PETROL UMP 460,-874.71,Travel
2026-01-20,DOMINOS PIZZA,-784.98,Food
2026-01-21,PVR CINEMAS891,-438.1,Entertainment
2026-01-21,FLIPKART INTERNET,-2485.75,Shopping
2026-01-21,JIO RECHARGE,-319.24,Bills
2026-01-21,APARTMENT MAINTENANCE,-1754.98,Bills
2026-01-21,NETFLIX SUBSCRIPTION554,-236.75,Bills
2026-01-21,DOMINOS PIZZA,-324.88,Food
2026-01-21,NEFT TRANSFER,-2237.75,Entertainment
2026-01-22,UPI-7654321098-SHOP,-1789.26,Shopping
2026-01-22,CARD PAYMENT 3112,1230.58,Income
2026-01-22,CARD PAYMENT 4068,-1362.31,Travel
2026-01-24,APARTMENT MAINTENANCE956,-1522.14,Bills
2026-01-24,FREELANCE PAYMENT748,10050.39,Income
2026-01-24,UPI-1234567890-CREDIT,3007.91,Income
