date,description,amount
2026-07-01,UPI SWIGGY Payment,-349.0
2026-07-01,UPI RAHUL SHARMA Sent,-500.0
2026-07-02,NEFT XYZCORP PVT LTD SALARY JUL,45000.0
2026-07-03,UPI OLA Cab Payment,-187.0
2026-07-03,POS 4291 AMAZON PAY INDIA,-1249.0
2026-07-04,UPI ZOMATO Order,-412.0
2026-07-05,ATM WDL HDFC ATM MG ROAD,-2000.0
2026-07-06,UPI AIRTEL Recharge,-399.0
2026-07-07,UPI NETFLIX COM Sub,-199.0
2026-07-08,POS 8823 RELIANCE FRESH,-876.5
2026-07-09,UPI IRCTC Ticket,-720.0
2026-07-10,UPI PVR CINEMAS Ticket,-540.0
2026-07-11,UPI BIGBASKET Order,-1340.0
2026-07-12,UPI PRIYA REDDY Received,1500.0
2026-07-13,POS 5567 MYNTRA DESIGNS,-2199.0
2026-07-14,UPI SPOTIFY Sub,-119.0
2026-07-15,ELECTRICITY BILL AUTO DEBIT APSPDCL,-1450.0
2026-07-16,UPI UBER Trip,-214.0
2026-07-17,UPI SWIGGY Payment,-568.0
2026-07-18,APARTMENT MAINTENANCE AUTO DEBIT,-2500.0
2026-07-19,UPI FLIPKART Order,-3499.0
2026-07-20,UPI JIO Recharge,-299.0
